opportunity_adjusted_rank,draft_year,draft_team,non_qb_war,non_qb_fs_points,seasons_possible,non_qb_war_per_1000_fs,non_qb_draft_efficiency_index,non_qb_war_per_1000_fs_seasons,opportunity_adjusted_efficiency_index,total_non_qb_picks,players_with_war_rows
109,2025,IND,0.073,5096,1,0.014,4.691,0.014,11.79,7,2
110,2025,CLE,0.063,6014,1,0.01,3.43,0.01,8.622,5,5
111,2022,CAR,0.115,3546,4,0.032,10.62,0.008,6.673,5,2
112,2025,MIN,0.023,3166,1,0.007,2.379,0.007,5.979,5,2
113,2023,NYG,0.051,4260,3,0.012,3.92,0.004,3.284,7,3
114,2025,BAL,0.018,5831,1,0.003,1.011,0.003,2.541,11,4
115,2024,DET,0.023,4015,2,0.006,1.876,0.003,2.357,6,3
116,2024,NE,0.018,3911,2,0.005,1.507,0.002,1.894,6,1
117,2025,MIA,-0.008,4827,1,-0.002,-0.543,-0.002,-1.364,7,6
118,2025,HOU,-0.014,5109,1,-0.003,-0.897,-0.003,-2.255,8,4
119,2025,DET,-0.019,4286,1,-0.004,-1.452,-0.004,-3.649,7,1
120,2024,IND,-0.064,5908,2,-0.011,-3.547,-0.005,-4.458,9,4
121,2022,MIA,-0.042,1467,4,-0.029,-9.375,-0.007,-5.891,3,2
122,2024,MIA,-0.148,4331,2,-0.034,-11.19,-0.017,-14.063,7,4
123,2025,CIN,-0.092,4727,1,-0.019,-6.373,-0.019,-16.019,6,3
124,2024,CAR,-0.194,4774,2,-0.041,-13.307,-0.02,-16.723,7,4
125,2022,LV,-0.342,2646,4,-0.129,-42.326,-0.032,-26.595,6,3
126,2023,CAR,-0.784,3000,3,-0.261,-85.578,-0.087,-71.697,4,3
127,2025,TEN,-0.576,4612,1,-0.125,-40.898,-0.125,-102.793,8,6
128,2025,LV,-1.243,7014,1,-0.177,-58.033,-0.177,-145.859,9,4
